timestamp,core_1,core_2,core_3,core_4
1715520377.871,39.1,4.2,0.0,0.0
1715520378.122,0.0,0.0,0.0,0.0
1715520378.372,0.0,0.0,0.0,3.8
1715520378.623,0.0,4.2,0.0,0.0
1715520378.874,0.0,0.0,0.0,0.0
1715520379.124,0.0,3.8,0.0,0.0
1715520379.375,0.0,0.0,0.0,0.0
1715520379.625,4.0,0.0,0.0,4.0
1715520379.876,52.4,4.2,4.2,4.3
1715520380.126,54.5,11.5,12.0,8.7
1715520380.377,57.1,8.3,15.4,8.7
1715520380.628,52.4,0.0,0.0,0.0
1715520380.878,56.5,14.8,11.5,4.5
1715520381.129,50.0,4.2,8.3,8.3
1715520381.38,54.5,11.5,12.0,0.0
1715520381.63,58.3,8.0,20.7,0.0
1715520381.881,50.0,0.0,4.3,8.3
1715520382.132,56.5,0.0,12.0,12.5
1715520382.382,52.4,8.0,4.2,0.0
1715520382.633,50.0,8.0,0.0,0.0
1715520382.884,52.4,0.0,4.2,4.3
1715520383.134,52.4,8.0,4.3,4.5
1715520383.385,47.4,11.5,8.3,8.3
1715520383.636,61.5,4.3,8.3,8.3
1715520383.886,52.4,11.5,11.5,0.0
1715520384.137,52.4,8.0,15.4,8.3
1715520384.387,47.4,0.0,4.2,0.0
1715520384.638,44.4,0.0,0.0,4.3
1715520384.889,4.0,3.8,0.0,0.0
1715520385.139,0.0,0.0,0.0,0.0
1715520385.39,0.0,3.8,3.8,0.0
1715520385.64,0.0,4.0,0.0,0.0
1715520385.891,0.0,0.0,0.0,0.0
1715520386.141,3.8,0.0,7.4,0.0
1715520386.392,0.0,0.0,0.0,0.0
1715520386.642,38.1,4.3,0.0,0.0
1715520386.893,55.0,0.0,8.3,8.7
1715520387.144,57.9,12.0,8.3,8.3
1715520387.394,55.0,4.5,8.3,4.3
1715520387.645,57.1,8.7,17.9,4.5
1715520387.896,52.6,4.5,4.5,4.3
1715520388.146,52.6,21.4,8.0,8.3
1715520388.397,57.9,12.5,4.3,8.3
1715520388.648,55.0,12.5,8.7,4.5
1715520388.898,55.0,8.7,8.3,4.3
1715520389.149,61.9,12.5,4.3,4.5
1715520389.4,55.0,0.0,17.9,4.3
1715520389.65,55.0,12.5,12.0,4.3
1715520389.901,35.7,4.5,0.0,4.5
1715520390.152,60.0,4.3,0.0,0.0
1715520390.402,60.9,4.5,4.3,4.3
1715520390.653,55.0,8.7,4.3,0.0
1715520390.904,47.1,8.3,4.2,8.3
1715520391.154,57.1,16.0,4.3,0.0
1715520391.405,57.1,8.7,8.3,4.3
1715520391.656,16.7,0.0,0.0,0.0
1715520391.906,0.0,0.0,0.0,0.0
1715520392.157,0.0,0.0,0.0,0.0
1715520392.407,0.0,0.0,0.0,0.0
1715520392.658,0.0,0.0,0.0,0.0
1715520392.908,0.0,3.8,0.0,0.0
1715520393.159,0.0,0.0,0.0,0.0
1715520393.41,33.3,8.3,0.0,0.0
1715520393.66,69.6,16.0,8.0,4.3
1715520393.911,65.0,12.5,0.0,8.7
1715520394.162,69.6,9.1,0.0,8.3
1715520394.412,65.0,8.7,8.0,4.3
1715520394.663,68.2,8.7,4.2,8.3
1715520394.913,63.2,8.7,0.0,8.7
1715520395.164,63.2,8.7,17.9,8.3
1715520395.415,68.2,16.7,8.3,4.3
1715520395.665,65.0,12.5,15.4,8.7
1715520395.916,61.1,8.7,8.0,0.0
1715520396.166,66.7,9.1,18.5,12.0
1715520396.417,68.2,12.5,4.3,4.5
1715520396.668,68.2,4.5,14.8,4.3
1715520396.918,69.6,12.5,4.3,8.3
1715520397.169,65.0,25.9,11.5,12.5
1715520397.42,73.1,16.0,8.3,4.3
1715520397.67,66.7,19.2,8.0,4.5
1715520397.921,65.0,8.7,8.3,4.3
1715520398.172,65.0,16.0,8.0,8.3
1715520398.422,28.0,8.0,11.1,4.0
1715520398.673,0.0,0.0,7.7,4.0
1715520398.923,0.0,0.0,0.0,0.0
1715520399.174,0.0,0.0,0.0,0.0
1715520399.424,0.0,0.0,0.0,0.0
1715520399.675,0.0,0.0,0.0,0.0
1715520399.925,0.0,0.0,0.0,0.0
1715520400.176,33.3,4.0,0.0,4.2
1715520400.427,79.2,12.0,9.1,8.3
1715520400.677,88.0,18.5,13.0,4.3
1715520400.928,82.6,14.8,26.9,12.0
1715520401.179,81.8,12.5,9.1,16.0
1715520401.429,83.3,8.0,4.5,4.3
1715520401.68,80.0,12.0,9.1,12.0
1715520401.93,81.8,18.5,13.0,4.3
1715520402.181,83.3,11.5,13.0,12.0
1715520402.432,87.0,21.4,13.0,4.3
